model,samples,top1_percent,mean_class_accuracy_percent
ai8x_jesternet_qat_20260520_005821,14787,64.063028,62.795876
ai8x_jester12wide_20260520_161242,14787,68.566985,68.086853
ai8x_jestermotion8_20260520_211203,14787,67.708122,67.135653
ai8x_jestermotion12_20260520_184836,14787,70.399675,69.938147
ai8x_jestermotion12_qat_lowlr_20260521_141542,14787,69.574626,68.920216
ai8x_jestermixed12_20260521_141543,14787,68.364104,67.822173
ai8x_jestersignedmotion12_20260521_174618,14787,72.293231,71.726140
ai8x_jestermotion12_hard_20260521_192437,14787,69.290593,69.012313
ai8x_jestermotion12res_20260521_163044,14787,73.720160,73.360815
ai8x_jestermotion12res_signed_20260521_225051,14787,76.607831,76.083253
ai8x_jestermotion12resfc192_20260522_000610,14787,73.774261,73.394823
ai8x_jestermotion12resfc192_signed_20260522_101448,14787,76.580780,76.029342
ai8x_jestermotion12resxconv_20260522_012825,14787,75.038886,74.566962
ai8x_jestermotion12resxconv_signed_20260522_113043,14787,77.405829,76.772944
ai8x_jestermotion12resxconv_signed_distill_20260522_133850,14787,77.432880,76.783741
ai8x_jestermotion12resxconv_signed_huge_teacher_distill_20260526_155122,14787,77.405829,76.797264
ai8x_jestermotion12resxconv_signed_huge_teacher_qat_sweep_20260528_102149,14787,77.601948,76.960189
