model_id,display,arch,phase,epochs,best_epoch,best_top1,best_top5,last_train_loss,last_val_loss,last_train_top1,last_val_top1,duration_s,source
cached_tinygesture_full_baseline_20260519_192917,TinyGesture raw 8-frame software baseline,tinygesture,software_train,5,5,61.49320348955163,,1.2594991600229315,1.2017810851861555,58.71780165651727,61.49320348955163,,runs/cached_tinygesture_full_baseline_20260519_192917/history.json
cached_tinygesture_full_finetune300_20260519_201404,TinyGesture raw 8-frame 300-epoch finetune,tinygesture,software_train,305,50,65.42909312233719,,0.5037603980767232,1.562877688832269,81.60456132656331,62.97423412456887,,runs/cached_tinygesture_full_finetune300_20260519_201404/history.json
ai8x_jesternet_qat_20260520_005821,JesterNet raw 8-frame ai8x QAT,jesternet,qat,40,36,64.063,92.27,0.866846,1.141,68.367347,64.063,1067.0,runs/ai8x_jesternet_qat_20260520_005821/artifacts/ai8x_jesternet_qat_20260520_005821___2026.05.20-005824.log
ai8x_jester12wide_20260520_161242,Jester12Wide raw 12-frame,jester12wide,fp,60,31,66.815,92.906,0.242876,1.368,94.117647,66.815,2179.0,runs/ai8x_jester12wide_20260520_161242/fp_artifacts/ai8x_jester12wide_fp_20260520_161242___2026.05.20-171521.log
ai8x_jester12wide_20260520_161242,Jester12Wide raw 12-frame,jester12wide,qat,40,2,68.567,93.454,0.01941,1.457,100.0,68.567,1506.0,runs/ai8x_jester12wide_20260520_161242/qat_artifacts/ai8x_jester12wide_qat_20260520_161242___2026.05.20-175141.log
ai8x_jestermotion8_20260520_211203,JesterMotion8 motion-channel ablation,jestermotion8,fp,60,33,66.295,92.487,0.255949,1.671,85.294118,66.295,1976.0,runs/ai8x_jestermotion8_20260520_211203/fp_artifacts/ai8x_jestermotion8_fp_20260520_211203___2026.05.20-222442.log
ai8x_jestermotion8_20260520_211203,JesterMotion8 motion-channel ablation,jestermotion8,qat,40,0,67.701,92.926,0.017008,1.725,100.0,67.701,1384.0,runs/ai8x_jestermotion8_20260520_211203/qat_artifacts/ai8x_jestermotion8_qat_20260520_211203___2026.05.20-225739.log
ai8x_jestermotion12_20260520_184836,JesterMotion12 motion-channel baseline,jestermotion12,fp,60,31,68.526,93.264,0.265331,1.275,85.294118,68.526,2158.0,runs/ai8x_jestermotion12_20260520_184836/fp_artifacts/ai8x_jestermotion12_fp_20260520_184836___2026.05.20-191946.log
ai8x_jestermotion12_20260520_184836,JesterMotion12 motion-channel baseline,jestermotion12,qat,40,0,70.406,93.9,0.037221,1.28,100.0,70.406,1481.0,runs/ai8x_jestermotion12_20260520_184836/qat_artifacts/ai8x_jestermotion12_qat_20260520_184836___2026.05.20-195544.log
ai8x_jestermotion12_qat_lowlr_20260521_141542,JesterMotion12 low-LR QAT,jestermotion12,qat,20,19,69.575,93.954,0.723422,0.983,79.411765,69.575,1734.0,runs/ai8x_jestermotion12_qat_lowlr_20260521_141542/qat_artifacts/ai8x_jestermotion12_qat_lowlr_20260521_141542___2026.05.21-141549.log
ai8x_jestermixed12_20260521_141543,JesterMixed12 raw/motion mix,jestermixed12,fp,60,37,66.065,92.622,0.283234,1.493,85.294118,66.065,2885.0,runs/ai8x_jestermixed12_20260521_141543/fp_artifacts/ai8x_jestermixed12_fp_20260521_141543___2026.05.21-142624.log
ai8x_jestermixed12_20260521_141543,JesterMixed12 raw/motion mix,jestermixed12,qat,20,4,68.357,93.264,0.064582,1.564,100.0,68.357,775.0,runs/ai8x_jestermixed12_20260521_141543/qat_artifacts/ai8x_jestermixed12_qat_20260521_141543___2026.05.21-151429.log
ai8x_jestersignedmotion12_20260521_174618,JesterSignedMotion12,jestersignedmotion12,fp,60,34,70.785,94.57,0.17008,1.052,91.176471,70.785,2130.0,runs/ai8x_jestersignedmotion12_20260521_174618/fp_artifacts/ai8x_jestersignedmotion12_fp_20260521_174618___2026.05.21-183029.log
ai8x_jestersignedmotion12_20260521_174618,JesterSignedMotion12,jestersignedmotion12,qat,30,7,72.293,94.854,0.047869,1.167,100.0,72.293,1120.0,runs/ai8x_jestersignedmotion12_20260521_174618/qat_artifacts/ai8x_jestersignedmotion12_qat_20260521_174618___2026.05.21-190559.log
ai8x_jestermotion12_hard_20260521_192437,JesterMotion12 hard-class oversampling,jestermotion12,fp,60,32,67.498,92.365,0.222808,1.623,94.444444,67.498,3025.0,runs/ai8x_jestermotion12_hard_20260521_192437/fp_artifacts/ai8x_jestermotion12_hard_fp_20260521_192437___2026.05.21-192443.log
ai8x_jestermotion12_hard_20260521_192437,JesterMotion12 hard-class oversampling,jestermotion12,qat,30,1,69.291,93.028,0.020225,1.71,100.0,69.291,1607.0,runs/ai8x_jestermotion12_hard_20260521_192437/qat_artifacts/ai8x_jestermotion12_hard_qat_20260521_192437___2026.05.21-201508.log
ai8x_jestermotion12res_20260521_163044,JesterMotion12 residual,jestermotion12res,fp,60,30,70.427,93.575,0.300545,1.312,82.352941,70.427,2966.0,runs/ai8x_jestermotion12res_20260521_163044/fp_artifacts/ai8x_jestermotion12res_fp_20260521_163044___2026.05.21-163050.log
ai8x_jestermotion12res_20260521_163044,JesterMotion12 residual,jestermotion12res,qat,30,4,73.713,94.752,0.006286,1.693,100.0,73.713,1564.0,runs/ai8x_jestermotion12res_20260521_163044/qat_artifacts/ai8x_jestermotion12res_qat_20260521_163044___2026.05.21-172016.log
