model_id,display,arch,input,deployable,params,mmac,best_phase,best_top1,best_top5,training_time_s,phase_summary,model_file,dataset_file,qat_yaml,network_yaml,notes
cached_tinygesture_full_baseline_20260519_192917,TinyGesture raw 8-frame software baseline,tinygesture,"8 raw grayscale frames, 64x64",False,196091,16.6496,software_train,61.49320348955163,,,"software_train: 5 ep, best@5 top1 61.493, last loss 1.202",training/core/train_jester_cached.py,,,,PyTorch software baseline before ai8x conversion.
cached_tinygesture_full_finetune300_20260519_201404,TinyGesture raw 8-frame 300-epoch finetune,tinygesture,"8 raw grayscale frames, 64x64",False,196091,16.6496,software_train,65.42909312233719,,,"software_train: 305 ep, best@50 top1 65.429, last loss 1.563",training/core/train_jester_cached.py,,,,Longer software-only baseline run.
ai8x_jesternet_qat_20260520_005821,JesterNet raw 8-frame ai8x QAT,jesternet,"8 raw grayscale frames, 64x64",True,195584,16.6496,qat,64.063,92.27,1067.0,"qat: 40 ep, best@36 top1 64.063, last loss 1.141",training/ai8x_custom_files/ai8x_training_models/jesternet.py,training/ai8x_custom_files/ai8x_training_datasets/jester.py,training/ai8x_custom_files/qat_policies/qat_policy_jesternet.yaml,training/ai8x_custom_files/synthesis_networks/jesternet.yaml,
ai8x_jester12wide_20260520_161242,Jester12Wide raw 12-frame,jester12wide,"12 raw grayscale frames, 64x64",True,245632,30.839008,qat,68.567,93.454,3685.0,"fp: 60 ep, best@31 top1 66.815, last loss 1.368; qat: 40 ep, best@2 top1 68.567, last loss 1.457",training/ai8x_custom_files/ai8x_training_models/jester12wide.py,training/ai8x_custom_files/ai8x_training_datasets/jester12.py,training/ai8x_custom_files/qat_policies/qat_policy_jester12wide.yaml,,
ai8x_jestermotion8_20260520_211203,JesterMotion8 motion-channel ablation,jestermotion8,"anchor + 7 absolute-motion planes, 64x64",True,244768,27.300064,qat,67.701,92.926,3360.0,"fp: 60 ep, best@33 top1 66.295, last loss 1.671; qat: 40 ep, best@0 top1 67.701, last loss 1.725",training/ai8x_custom_files/ai8x_training_models/jestermotion8.py,training/ai8x_custom_files/ai8x_training_datasets/jester_motion8.py,training/ai8x_custom_files/qat_policies/qat_policy_jestermotion8.yaml,training/ai8x_custom_files/synthesis_networks/jestermotion8.yaml,
ai8x_jestermotion12_20260520_184836,JesterMotion12 motion-channel baseline,jestermotion12,"anchor + 11 absolute-motion planes, 64x64",True,245632,30.839008,qat,70.406,93.9,3639.0,"fp: 60 ep, best@31 top1 68.526, last loss 1.275; qat: 40 ep, best@0 top1 70.406, last loss 1.280",training/ai8x_custom_files/ai8x_training_models/jestermotion12.py,training/ai8x_custom_files/ai8x_training_datasets/jester_motion12.py,training/ai8x_custom_files/qat_policies/qat_policy_jestermotion12.yaml,training/ai8x_custom_files/synthesis_networks/jestermotion12.yaml,
ai8x_jestermotion12_qat_lowlr_20260521_141542,JesterMotion12 low-LR QAT,jestermotion12,"anchor + 11 absolute-motion planes, 64x64",True,245632,30.839008,qat,69.575,93.954,1734.0,"qat: 20 ep, best@19 top1 69.575, last loss 0.983",training/ai8x_custom_files/ai8x_training_models/jestermotion12.py,training/ai8x_custom_files/ai8x_training_datasets/jester_motion12.py,training/ai8x_custom_files/qat_policies/qat_policy_jestermotion12.yaml,training/ai8x_custom_files/synthesis_networks/jestermotion12.yaml,QAT-only LR sweep around the motion12 baseline.
ai8x_jestermixed12_20260521_141543,JesterMixed12 raw/motion mix,jestermixed12,"4 raw planes + 8 absolute-motion planes, 64x64",True,245632,30.839008,qat,68.357,93.264,3660.0,"fp: 60 ep, best@37 top1 66.065, last loss 1.493; qat: 20 ep, best@4 top1 68.357, last loss 1.564",training/ai8x_custom_files/ai8x_training_models/jestermixed12.py,training/ai8x_custom_files/ai8x_training_datasets/jester_mixed12.py,training/ai8x_custom_files/qat_policies/qat_policy_jestermixed12.yaml,,
ai8x_jestersignedmotion12_20260521_174618,JesterSignedMotion12,jestersignedmotion12,"anchor + 11 signed-motion planes, 64x64",True,245632,30.839008,qat,72.293,94.854,3250.0,"fp: 60 ep, best@34 top1 70.785, last loss 1.052; qat: 30 ep, best@7 top1 72.293, last loss 1.167",training/ai8x_custom_files/ai8x_training_models/jestersignedmotion12.py,training/ai8x_custom_files/ai8x_training_datasets/jester_signedmotion12.py,training/ai8x_custom_files/qat_policies/qat_policy_jestersignedmotion12.yaml,,
ai8x_jestermotion12_hard_20260521_192437,JesterMotion12 hard-class oversampling,jestermotion12,"anchor + 11 absolute-motion planes, 64x64",True,245631,30.839008,qat,69.291,93.028,4632.0,"fp: 60 ep, best@32 top1 67.498, last loss 1.623; qat: 30 ep, best@1 top1 69.291, last loss 1.710",training/ai8x_custom_files/ai8x_training_models/jestermotion12.py,training/ai8x_custom_files/ai8x_training_datasets/jester_motion12_hard.py,training/ai8x_custom_files/qat_policies/qat_policy_jestermotion12_hard.yaml,training/ai8x_custom_files/synthesis_networks/jestermotion12.yaml,Training-set reweighting/oversampling variant.
ai8x_jestermotion12res_20260521_163044,JesterMotion12 residual,jestermotion12res,"anchor + 11 absolute-motion planes, 64x64",True,393088,54.431968,qat,73.713,94.752,4530.0,"fp: 60 ep, best@30 top1 70.427, last loss 1.312; qat: 30 ep, best@4 top1 73.713, last loss 1.693",training/ai8x_custom_files/ai8x_training_models/jestermotion12res.py,training/ai8x_custom_files/ai8x_training_datasets/jester_signedmotion12.py,training/ai8x_custom_files/qat_policies/qat_policy_jestermotion12res.yaml,training/ai8x_custom_files/synthesis_networks/jestermotion12res.yaml,
ai8x_jestermotion12res_signed_20260521_225051,JesterMotion12 residual + signed motion,jestermotion12res,"anchor + 11 signed-motion planes, 64x64",True,393088,54.431968,qat,76.669,95.827,4515.0,"fp: 60 ep, best@34 top1 73.673, last loss 1.236; qat: 30 ep, best@21 top1 76.669, last loss 1.488",training/ai8x_custom_files/ai8x_training_models/jestermotion12res.py,training/ai8x_custom_files/ai8x_training_datasets/jester_signedmotion12.py,training/ai8x_custom_files/qat_policies/qat_policy_jestermotion12res.yaml,training/ai8x_custom_files/synthesis_networks/jestermotion12res.yaml,
ai8x_jestermotion12res_signed_huge_teacher_distill_20260530_223904,Huge-teacher distilled signed residual student,jestermotion12res,"12 signed-motion grayscale frames, 64x64",True,393088,54.431968,distill_student,77.757,95.476,13545.089,"distill_student: 35 ep, best@8 top1 77.757, last loss 0.919; qat: 30 ep, best@15 top1 76.682, last loss 0.896",training/ai8x_custom_files/ai8x_training_models/jestermotion12res.py,training/ai8x_custom_files/ai8x_training_datasets/jester_signedmotion12.py,training/ai8x_custom_files/qat_policies/qat_policy_jestermotion12res.yaml,training/ai8x_custom_files/synthesis_networks/jestermotion12res.yaml,"New smaller deployable signed residual student distilled from the huge software teacher, then QAT-trained. Distilled checkpoint peaked at 77.757% Top-1 before QAT; best QAT checkpoint peaked at 76.682% Top-1 / 95.942% Top-5."
ai8x_jestermotion12resfc192_20260522_000610,JesterMotion12 residual fc192,jestermotion12resfc192,"anchor + 11 absolute-motion planes, 64x64",True,426720,54.4656,qat,73.754,94.515,4546.0,"fp: 60 ep, best@57 top1 70.028, last loss 1.534; qat: 30 ep, best@21 top1 73.754, last loss 1.855",training/ai8x_custom_files/ai8x_training_models/jestermotion12resfc192.py,training/ai8x_custom_files/ai8x_training_datasets/jester_signedmotion12.py,training/ai8x_custom_files/qat_policies/qat_policy_jestermotion12resfc192.yaml,training/ai8x_custom_files/synthesis_networks/jestermotion12resfc192.yaml,
