variant,strategy,threshold,min_exit_frame,accuracy,mean_obs_ratio,latency_ms,baseline_acc,acc_drop_pp
C1f,S1,0.8500,0,0.1405,0.2142,108.2800,0.8702,72.9695
C1f,S1,0.9000,0,0.1773,0.2500,126.4000,0.8702,69.2974
C1f,S1,0.9300,0,0.2076,0.2765,139.8200,0.8702,66.2609
C1f,S1,0.9500,0,0.2360,0.3023,152.8600,0.8702,63.4206
C1f,S1,0.9700,0,0.2861,0.3465,175.2000,0.8702,58.4094
C1f,S1,0.9800,0,0.3202,0.3760,190.0900,0.8702,55.0010
C1f,S1,0.9900,0,0.3935,0.4377,221.2800,0.8702,47.6703
C1f,S1,0.9950,0,0.4521,0.4893,247.3900,0.8702,41.8138
C1f,S1,0.9990,0,0.5730,0.6056,306.1900,0.8702,29.7221
C1f,S3,0.0100,0,0.5623,0.5947,300.6600,0.8702,30.7906
C1f,S3,0.0500,0,0.4121,0.4530,229.0500,0.8702,45.8105
C1f,S3,0.1000,0,0.3318,0.3849,194.6200,0.8702,53.8446
C1f,S3,0.2000,0,0.2518,0.3150,159.2500,0.8702,61.8449
C1f,S3,0.3000,0,0.2033,0.2719,137.4800,0.8702,66.6937
C1f,S3,0.5000,0,0.1423,0.2150,108.7300,0.8702,72.7937
C1f,S3,0.8000,0,0.0864,0.1514,76.5300,0.8702,78.3797
C1f,S3,1.2000,0,0.0687,0.1279,64.6600,0.8702,80.1515
C1f,S3,2.0000,0,0.0676,0.1250,63.2000,0.8702,80.2597
C1f,S1,0.8500,3,0.5307,0.6178,312.3400,0.8702,33.9555
C1f,S1,0.9000,3,0.5663,0.6403,323.7200,0.8702,30.3916
C1f,S1,0.9300,3,0.5908,0.6561,331.7100,0.8702,27.9435
C1f,S1,0.9500,3,0.6148,0.6712,339.3700,0.8702,25.5427
C1f,S1,0.9700,3,0.6475,0.6943,351.0300,0.8702,22.2763
C1f,S1,0.9800,3,0.6698,0.7099,358.9100,0.8702,20.0446
C1f,S1,0.9900,3,0.7028,0.7362,372.2200,0.8702,16.7377
C1f,S1,0.9950,3,0.7293,0.7577,383.0800,0.8702,14.0935
C1f,S1,0.9990,3,0.7740,0.8060,407.5200,0.8702,9.6233
C1f,S3,0.0100,3,0.7701,0.8020,405.5000,0.8702,10.0088
C1f,S3,0.0500,3,0.7127,0.7434,375.8800,0.8702,15.7503
C1f,S3,0.1000,3,0.6772,0.7149,361.4500,0.8702,19.3007
C1f,S3,0.2000,3,0.6305,0.6802,343.9000,0.8702,23.9738
C1f,S3,0.3000,3,0.5932,0.6563,331.8000,0.8702,27.7000
C1f,S3,0.5000,3,0.5414,0.6225,314.7100,0.8702,32.8870
C1f,S3,0.8000,3,0.4717,0.5756,291.0500,0.8702,39.8526
C1f,S3,1.2000,3,0.4407,0.5371,271.5500,0.8702,42.9567
C1f,S3,2.0000,3,0.4509,0.5012,253.3900,0.8702,41.9287
C1f,S1,0.8500,4,0.5027,0.6833,345.4700,0.8702,36.7553
C1f,S1,0.9000,4,0.5481,0.6979,352.8700,0.8702,32.2107
C1f,S1,0.9300,4,0.5765,0.7079,357.9400,0.8702,29.3772
C1f,S1,0.9500,4,0.6027,0.7178,362.8900,0.8702,26.7532
C1f,S1,0.9700,4,0.6408,0.7347,371.4500,0.8702,22.9458
C1f,S1,0.9800,4,0.6638,0.7457,377.0500,0.8702,20.6398
C1f,S1,0.9900,4,0.6985,0.7662,387.3700,0.8702,17.1773
C1f,S1,0.9950,4,0.7257,0.7830,395.8800,0.8702,14.4519
C1f,S1,0.9990,4,0.7734,0.8236,416.4400,0.8702,9.6842
C1f,S3,0.0100,4,0.7692,0.8200,414.6000,0.8702,10.1035
C1f,S3,0.0500,4,0.7087,0.7712,389.9200,0.8702,16.1493
C1f,S3,0.1000,4,0.6714,0.7490,378.7000,0.8702,19.8823
C1f,S3,0.2000,4,0.6196,0.7230,365.5600,0.8702,25.0626
C1f,S3,0.3000,4,0.5771,0.7065,357.2200,0.8702,29.3163
C1f,S3,0.5000,4,0.5108,0.6838,345.7300,0.8702,35.9437
C1f,S3,0.8000,4,0.3954,0.6548,331.0800,0.8702,47.4809
C1f,S3,1.2000,4,0.2957,0.6358,321.4600,0.8702,57.4559
C1f,S3,2.0000,4,0.2314,0.6252,316.1100,0.8702,63.8804
