model_id,display,arch,family,input,deployable,params,mmac,fp32_best_top1,int8_top1,int8_size_kb,lat_per_frame_ms,train_epochs,best_epoch,training_time_s,model_file,notes
student_V0,V0 from-scratch tiny-CNN+TSM,tiny_cnn_tsm,V,"8 gray frames, 64x64",False,3350,1.7196,15.06,,13.9,5.72,30,29,3723.0,models/student_V0/41422954_0/best.weights.h5,Path-A V-line; confirmed dead (<40%).
student_V1,V1 from-scratch tiny-CNN+TSM,tiny_cnn_tsm,V,"6 gray frames, 48x48",False,6835,2.2521,17.92,,13.5,6.25,30,26,3935.3,models/student_V1/41422954_1/best.weights.h5,Path-A V-line; confirmed dead (<40%).
student_V2,V2 from-scratch tiny-CNN+TSM,tiny_cnn_tsm,V,"8 gray frames, 64x64",False,25163,20.1017,20.76,,32.9,13.38,30,29,4140.4,models/student_V2/41422954_2/best.weights.h5,Path-A V-line; confirmed dead (<40%).
student_V3,V3 from-scratch tiny-CNN+TSM,tiny_cnn_tsm,V,"8 gray frames, 64x64",False,6534,5.4799,22.03,,21.8,7.28,30,26,4415.2,models/student_V3/41422954_3/best.weights.h5,Path-A V-line; confirmed dead (<40%).
student_V4,V4 from-scratch tiny-CNN+TSM,tiny_cnn_tsm,V,"8 gray frames, 64x64",False,40623,64.6221,38.45,,52.0,31.93,30,29,3958.6,models/student_V4/41422954_4/best.weights.h5,Path-A V-line; confirmed dead (<40%).
student_V5,V5 from-scratch tiny-CNN+TSM,tiny_cnn_tsm,V,"8 gray frames, 64x64",False,96379,77.952,25.12,,105.2,37.48,30,29,3562.0,models/student_V5/41422954_5/best.weights.h5,Path-A V-line; confirmed dead (<40%).
student_V6,V6 from-scratch tiny-CNN+TSM,tiny_cnn_tsm,V,"8 gray frames, 96x96",False,5094,6.2638,16.0,,16.6,7.61,30,29,3548.2,models/student_V6/41422954_6/best.weights.h5,Path-A V-line; confirmed dead (<40%).
student_C1f,C1f TSM-MBV2 truncated (C1),tsm_mbv2_trunc,C1,"8 gray frames, 64x64",True,1376259,17.4594,87.35,87.022,5376.0,,30,29,4059.6,models/student_C1F/41478885_2/best.weights.h5,"Path-C survivor (c1deep round); best FP32 of deployed pair. Deployed INT8 PTQ (clip), n_val=14787."
student_C1j,C1j TSM-MBV2 truncated (C1),tsm_mbv2_trunc,C1,"8 gray frames, 64x64",True,721979,8.1321,86.65,86.488,2828.8,32.11,60,59,10744.2,models/student_C1J/41478885_6/best.weights.h5,"Path-C survivor; top_3=True. Deployed INT8 PTQ (clip), n_val=14787."
student_C1n,C1n TSM-MBV2 truncated (C1),tsm_mbv2_trunc,C1,"8 gray frames, 64x64",True,701979,19.547,86.71,,2740.6,70.16,30,29,4639.8,models/student_C1N/41495944_2/best.weights.h5,Path-C survivor; top_3=True.
student_C1o,C1o TSM-MBV2 truncated (C1),tsm_mbv2_trunc,C1,"8 gray frames, 64x64",True,1545643,18.5657,87.17,,6027.8,66.89,30,29,4254.6,models/student_C1O/41495944_3/best.weights.h5,Path-C survivor; top_3=True.
